preco,bairro,area,quartos,suites,vagas,andar,banheiros,salao de festas,mobiliado,varanda,academia,espaco gourmet,playground,churrasqueira,piscina
R$ 1.054.683,Capoeiras,117,3,1,2,,2,1,0,0,1,0,0,1,1
R$ 890.000,Itacorubi,89,3,1,1,,1,1,0,0,0,0,0,1,0
R$ 1.000.000,Agronômica,105,3,1,1,6,,1,0,1,1,0,1,1,1
R$ 970.000,Itacorubi,93,3,1,2,,2,1,1,0,0,1,1,1,0
R$ 646.000,Itacorubi,91,1,1,1,,1,1,1,1,1,1,1,1,1
R$ 740.000,Estreito,86,3,1,1,,2,0,0,0,0,0,0,0,0
R$ 640.000,Trindade,90,3,1,1,,3,0,0,0,0,0,0,0,0
R$ 820.000,Itacorubi,65,2,1,2,3,2,0,0,0,0,0,0,0,0
R$ 830.000,Itacorubi,65,2,1,1,,2,1,0,0,1,1,1,1,1
R$ 780.000,Itacorubi,69,2,1,2,6,2,1,0,1,0,0,1,1,1
R$ 656.000,Coloninha,71,2,1,2,,1,0,0,0,0,0,0,0,0
R$ 950.000,Balneário,77,2,2,2,5,3,1,0,1,1,1,1,1,0
R$ 510.000,Trindade,54,2,0,0,,1,0,0,0,0,0,0,0,0
R$ 590.000,Itacorubi,57,2,0,1,,1,1,1,1,1,0,1,1,0
R$ 1.250.000,Canto,109,3,3,2,3,4,1,0,0,1,1,1,0,0
R$ 830.000,Trindade,65,2,1,1,,2,0,0,0,0,0,1,1,0
R$ 952.000,Itacorubi,76,2,1,1,,1,1,0,0,1,0,1,0,0
R$ 760.000,Itacorubi,61,2,1,1,,1,1,0,0,0,1,1,0,0
R$ 950.000,Canto,110,2,2,1,,3,1,0,1,1,1,1,1,1
R$ 780.000,Balneário,88,2,1,2,,2,1,0,1,0,0,0,0,0
R$ 850.000,Itacorubi,66,2,1,2,,2,0,0,0,0,0,0,0,0
R$ 800.000,,66,2,1,1,,2,1,1,1,1,0,1,1,0
R$ 2.300.000,Agronômica,108,2,2,2,,3,0,0,0,0,0,0,0,0
R$ 1.480.000,Itacorubi,117,3,1,2,9,3,1,0,1,1,1,1,1,1
R$ 571.000,Capoeiras,65,2,1,1,,2,1,0,0,1,1,1,1,1
R$ 850.000,Itacorubi,70,2,1,1,3,1,1,0,1,1,1,1,1,1
R$ 1.520.000,Jardim Atlântico,142,3,1,2,1,2,1,1,1,0,1,1,1,1
R$ 950.000,Estreito,86,2,2,1,7,3,1,0,0,0,1,1,0,0
